OverallQual,BedroomAbvGr,CentralAir,BsmtQual,BsmtUnfSF,Fireplaces,YrSold,HouseStyle,HeatingQC,GarageType,RoofMatl,PavedDrive,SaleType,FullBath,OpenPorchSF,RoofStyle,Exterior,Utilities,BsmtFinSF1,Heating,LotInfo,KitchenQual,HalfBath,BsmtFinType1,WoodDeckSF,TotRmsAbvGrd,SalePrice,YearBuilt,BsmtCond,Foundation,Electrical,BldgType,OverallCond,GrLivArea
7,3,Y,Gd,1836,1,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,33,notGable,VinylSd;TA;Gd,AllPub,24,GasA,Inside;Reg;9100;70,Gd,0,GLQ,120,8,216837,2004,TA,PConc,SBrkr,1Fam,5,1836
7,3,Y,Gd,1594,0,2006,1Story,Ex,Attchd,CompShg,Y,notWD,2,59,Gable,VinylSd;TA;Gd,AllPub,20,GasA,Inside;IR1;11210;86,Gd,0,GLQ,144,7,221500,2005,TA,PConc,SBrkr,1Fam,5,1614
7,3,Y,Gd,1413,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,33,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;IR2;16285;67,Gd,0,Unf,0,6,187100,2001,TA,PConc,SBrkr,1Fam,5,1430
7,3,Y,Gd,80,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,18,Gable,OtherSd;TA;Gd,AllPub,648,GasA,Inside;Reg;8199;63,Gd,1,GLQ,36,7,189000,2005,TA,PConc,SBrkr,1Fam,5,1456
6,1,Y,Gd,186,1,2008,1Story,Ex,Attchd,CompShg,Y,notWD,1,0,Gable,VinylSd;TA;Gd,AllPub,662,GasA,Inside;Reg;4438;NA,Gd,0,GLQ,140,4,144500,2004,TA,PConc,SBrkr,Twnhs,5,848
7,3,Y,Gd,1649,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,34,Gable,VinylSd;TA;TA,AllPub,0,GasA,CulDSac;IR2;12137;48,Gd,0,Unf,0,6,224900,1998,TA,PConc,SBrkr,1Fam,5,1661
7,3,Y,Gd,798,0,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,45,Gable,VinylSd;TA;Gd,AllPub,0,GasA,CulDSac;IR1;7226;72,Gd,1,Unf,0,6,183000,2003,TA,PConc,SBrkr,1Fam,5,1640
5,3,Y,Gd,1099,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;TA,AllPub,0,GasA,Inside;Reg;9525;75,Gd,1,Unf,278,6,144000,1995,TA,PConc,SBrkr,1Fam,6,1099
5,3,Y,TA,404,1,2009,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,OtherSd;TA;TA,AllPub,460,GasA,CulDSac;IR1;15523;36,TA,0,BLQ,0,5,133500,1972,TA,CBlock,SBrkr,1Fam,6,864
6,3,Y,Gd,299,0,2010,2Story,Ex,Attchd,CompShg,Y,WD,2,77,Gable,VinylSd;TA;TA,AllPub,505,GasA,Inside;Reg;8750;70,Gd,1,GLQ,0,7,200500,1998,TA,PConc,SBrkr,1Fam,5,1682
5,3,Y,TA,218,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,VinylSd;Gd;Gd,AllPub,646,GasA,CulDSac;IR1;7000;NA,TA,0,ALQ,0,6,136500,1978,TA,CBlock,SBrkr,1Fam,8,864
8,3,Y,Gd,1753,1,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,151,notGable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;11838;NA,Ex,0,Unf,202,7,236500,2001,TA,PConc,SBrkr,1Fam,5,1788
7,3,Y,Gd,1480,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,VinylSd;TA;Gd,AllPub,20,GasA,FR2;Reg;8487;63,Gd,0,GLQ,192,6,190000,2004,TA,PConc,SBrkr,1Fam,5,1500
7,3,Y,Gd,936,1,2006,2Story,Ex,Attchd,CompShg,Y,WD,2,96,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;IR1;14006;65,Gd,1,Unf,144,7,192500,2002,TA,PConc,SBrkr,1Fam,5,1776
7,3,Y,Gd,638,0,2007,1Story,Ex,Attchd,CompShg,Y,WD,2,39,Gable,VinylSd;TA;Gd,AllPub,699,GasA,Inside;Reg;8450;65,Gd,0,GLQ,0,6,185000,2003,TA,PConc,SBrkr,1Fam,5,1337
9,2,Y,Ex,1800,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,136,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Corner;IR1;11923;122,Ex,0,Unf,288,7,239000,2007,TA,PConc,SBrkr,1Fam,5,1800
8,4,Y,Gd,1128,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,0,Gable,OtherSd;TA;Gd,AllPub,0,GasA,Corner;Reg;11250;NA,Gd,1,Unf,0,9,255900,2002,TA,PConc,SBrkr,1Fam,5,2290
6,3,Y,Gd,750,0,2006,2Story,Ex,Attchd,CompShg,Y,notWD,2,35,Gable,VinylSd;TA;TA,AllPub,0,GasA,Inside;Reg;8846;68,Gd,1,Unf,0,6,173900,2005,TA,PConc,SBrkr,1Fam,5,1500
7,2,Y,Gd,501,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,61,Gable,VinylSd;TA;Gd,AllPub,686,GasA,Inside;Reg;6762;64,Gd,0,GLQ,105,6,206000,2006,TA,PConc,SBrkr,1Fam,5,1208
7,3,Y,Gd,814,1,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,66,notGable,VinylSd;TA;Gd,AllPub,690,GasA,Inside;Reg;11883;73,Gd,0,GLQ,115,6,203000,1996,TA,PConc,SBrkr,1Fam,5,1504
7,2,Y,Gd,515,0,2006,1Story,Ex,Attchd,CompShg,Y,notWD,2,54,Gable,VinylSd;TA;Gd,AllPub,684,GasA,Inside;Reg;7406;64,Gd,0,GLQ,105,6,194000,2006,TA,PConc,SBrkr,1Fam,5,1220
5,3,Y,TA,276,0,2007,1Story,TA,Detchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;TA,AllPub,138,GasA,Corner;Reg;7700;70,TA,0,BLQ,96,5,112500,1972,TA,CBlock,SBrkr,1Fam,5,882
7,3,Y,Gd,668,0,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,136,Gable,VinylSd;TA;Gd,AllPub,986,GasA,Inside;Reg;8125;NA,Gd,0,GLQ,0,6,230000,2002,TA,PConc,SBrkr,1Fam,5,1654
8,3,Y,Gd,1055,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,45,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;9240;NA,Gd,1,Unf,0,7,287000,2001,TA,PConc,SBrkr,1Fam,5,2263
5,3,Y,Gd,304,0,2008,1Story,Ex,Detchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;TA,AllPub,686,GasA,Inside;IR2;9245;57,TA,0,GLQ,0,5,145000,1994,TA,PConc,SBrkr,1Fam,5,990
7,3,Y,Gd,1316,1,2007,1Story,Ex,Attchd,CompShg,Y,notWD,2,20,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Corner;IR1;11175;103,Gd,0,Unf,0,6,200141,2007,TA,PConc,SBrkr,1Fam,5,1316
8,3,Y,Gd,133,1,2006,2Story,Ex,Attchd,CompShg,Y,WD,2,60,Gable,VinylSd;TA;Gd,AllPub,932,GasA,Corner;Reg;11367;90,Gd,1,GLQ,199,7,255000,2002,TA,PConc,SBrkr,1Fam,5,1989
7,2,Y,Gd,1240,0,2007,1Story,Ex,Attchd,CompShg,Y,WD,2,93,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;8556;74,Gd,0,Unf,140,5,194000,2006,TA,PConc,SBrkr,1Fam,5,1240
6,1,Y,Gd,186,1,2006,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;Gd,AllPub,662,GasA,Inside;Reg;4435;37,Gd,0,GLQ,140,3,155900,2004,TA,PConc,SBrkr,Twnhs,5,848
5,3,Y,Gd,495,0,2007,1Story,Gd,Attchd,CompShg,Y,WD,1,64,Gable,VinylSd;TA;TA,AllPub,495,GasA,Inside;Reg;8775;65,TA,0,GLQ,0,5,126000,1994,TA,PConc,SBrkr,1Fam,5,990
7,3,Y,Gd,1459,1,2007,1Story,Ex,Attchd,CompShg,Y,WD,2,39,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;8749;70,Gd,0,Unf,192,6,192000,2002,TA,PConc,SBrkr,1Fam,5,1459
6,3,Y,Gd,1290,1,2007,1Story,Gd,Attchd,CompShg,Y,WD,2,22,Gable,VinylSd;TA;Gd,AllPub,24,GasA,Inside;IR1;9317;78,Gd,0,GLQ,0,6,176432,2006,TA,PConc,SBrkr,1Fam,5,1314
7,3,Y,Gd,1528,0,2006,1Story,Ex,Attchd,CompShg,Y,notWD,2,20,Gable,VinylSd;TA;Gd,AllPub,24,GasA,Inside;Reg;10084;84,Gd,0,GLQ,144,7,212900,2005,TA,PConc,SBrkr,1Fam,5,1552
8,4,Y,Ex,316,1,2007,2Story,Ex,Attchd,CompShg,Y,notWD,3,144,notGable,VinylSd;TA;Gd,AllPub,1150,GasA,Inside;Reg;9965;77,Gd,0,GLQ,125,11,424870,2006,TA,PConc,SBrkr,1Fam,5,2828
8,3,Y,Gd,1694,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,33,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Corner;IR1;10475;64,Gd,0,Unf,160,7,245350,2008,TA,PConc,SBrkr,1Fam,5,1694
7,3,Y,Gd,831,0,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,68,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;IR1;8935;68,Gd,1,Unf,144,7,195000,2002,TA,PConc,SBrkr,1Fam,5,1660
7,3,Y,Gd,1212,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,0,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;9100;70,Gd,0,Unf,356,6,178000,2001,TA,PConc,SBrkr,1Fam,5,1212
7,3,Y,Gd,866,0,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,VinylSd;TA;TA,AllPub,0,GasA,Corner;Reg;10400;80,Gd,1,Unf,198,6,197900,1998,TA,PConc,SBrkr,1Fam,5,1779
7,3,Y,Gd,1630,1,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,234,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;9750;75,Gd,0,Unf,74,6,213000,2000,TA,PConc,SBrkr,1Fam,5,1630
6,3,Y,Gd,1342,0,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,23,Gable,VinylSd;TA;Gd,AllPub,340,GasA,Inside;Reg;9135;70,Gd,0,GLQ,192,7,200000,2003,TA,PConc,SBrkr,1Fam,5,1700
7,4,Y,Gd,847,1,2006,2Story,Ex,Attchd,CompShg,Y,WD,2,48,Gable,VinylSd;TA;Gd,AllPub,0,GasA,FR2;IR2;12393;41,Gd,1,Unf,100,8,195000,2004,TA,PConc,SBrkr,1Fam,5,1948
7,3,Y,Gd,334,0,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,63,Gable,VinylSd;TA;Gd,AllPub,550,GasA,Inside;Reg;8158;65,Gd,1,GLQ,0,8,224900,2003,TA,PConc,SBrkr,1Fam,5,1768
7,3,Y,Gd,785,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,72,Gable,VinylSd;TA;Gd,AllPub,788,GasA,Inside;IR1;9808;67,Gd,0,GLQ,0,6,227000,2002,TA,PConc,SBrkr,1Fam,5,1573
5,3,Y,Gd,364,0,2009,1Story,TA,Detchd,CompShg,Y,WD,2,0,Gable,OtherSd;TA;TA,AllPub,532,GasA,Inside;IR1;8800;61,Gd,0,BLQ,0,5,150500,1977,TA,CBlock,SBrkr,1Fam,7,1040
5,3,Y,Gd,244,0,2009,1Story,Ex,Detchd,CompShg,Y,WD,1,64,Gable,VinylSd;Gd;TA,AllPub,746,GasA,Inside;Reg;8072;60,TA,0,ALQ,0,5,138000,1994,NA,PConc,SBrkr,1Fam,5,990
8,3,Y,Ex,1622,1,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,42,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;IR1;10226;61,Ex,0,Unf,172,8,295493,2008,TA,PConc,SBrkr,1Fam,5,1630
8,3,Y,Gd,1753,1,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,150,notGable,VinylSd;TA;Gd,AllPub,0,GasA,CulDSac;IR2;14781;NA,Gd,0,Unf,198,7,275000,2001,TA,PConc,SBrkr,1Fam,5,1787
7,3,Y,Gd,216,0,2006,2Story,Ex,Attchd,CompShg,Y,WD,2,91,Gable,VinylSd;TA;Gd,AllPub,700,GasA,Corner;IR1;13450;95,Gd,1,GLQ,146,8,200000,2002,TA,PConc,SBrkr,1Fam,5,1861
8,3,Y,Gd,1284,1,2007,2Story,Ex,Attchd,CompShg,Y,WD,2,87,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;9375;NA,Gd,1,Unf,192,7,228500,2002,TA,PConc,SBrkr,1Fam,5,2169
7,3,Y,Gd,257,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,184,Gable,VinylSd;TA;Gd,AllPub,735,GasA,Inside;IR1;10316;NA,Gd,1,GLQ,0,7,235000,2000,TA,PConc,SBrkr,1Fam,5,1865
6,1,Y,Gd,163,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;Gd,AllPub,685,GasA,Inside;Reg;4435;NA,Gd,0,GLQ,140,4,144000,2003,TA,PConc,SBrkr,Twnhs,5,848
7,3,Y,Gd,133,1,2006,2Story,Ex,Detchd,CompShg,Y,WD,2,170,Gable,VinylSd;TA;TA,AllPub,975,GasA,Corner;Reg;9750;75,Gd,1,GLQ,253,8,274300,1998,TA,PConc,SBrkr,1Fam,6,2097
7,3,Y,Gd,125,0,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,VinylSd;TA;Gd,AllPub,1400,GasA,Inside;Reg;9100;70,Gd,0,GLQ,219,6,235000,2000,TA,PConc,SBrkr,1Fam,5,1525
7,2,Y,Gd,1286,1,2006,1Story,Ex,Attchd,CompShg,Y,notWD,2,55,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;6762;64,Gd,0,Unf,168,6,193879,2006,NA,PConc,SBrkr,1Fam,5,1294
7,3,Y,Gd,278,0,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,45,Gable,VinylSd;TA;Gd,AllPub,666,GasA,Inside;Reg;12420;79,Gd,1,GLQ,0,6,230000,2001,TA,PConc,SBrkr,1Fam,5,1840
6,1,Y,Gd,162,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;Gd,AllPub,686,GasA,Inside;Reg;4435;37,Gd,0,GLQ,140,3,136500,2003,TA,PConc,SBrkr,Twnhs,5,848
6,1,Y,Gd,151,1,2008,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;Gd,AllPub,697,GasA,Inside;Reg;4426;NA,Gd,0,GLQ,149,3,149300,2004,TA,PConc,SBrkr,Twnhs,5,848
7,3,Y,Gd,1422,0,2007,1Story,Ex,Attchd,CompShg,Y,WD,2,60,Gable,VinylSd;TA;Gd,AllPub,0,GasA,FR2;Reg;8500;63,Gd,0,Unf,192,7,179600,2004,TA,PConc,SBrkr,1Fam,5,1422
7,3,Y,Gd,901,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,84,Gable,VinylSd;TA;Gd,AllPub,252,GasA,Inside;IR1;11404;75,Gd,1,ALQ,192,8,222500,1998,TA,PConc,SBrkr,1Fam,5,2031
7,3,Y,Gd,1413,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,33,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;IR2;16285;67,Gd,0,Unf,0,6,187100,2001,TA,PConc,SBrkr,1Fam,5,1430
