Foundation,GrLivArea,PavedDrive,RoofStyle,Fireplaces,LotInfo,WoodDeckSF,BldgType,HalfBath,YearBuilt,FullBath,BsmtUnfSF,KitchenQual,BsmtFinType1,CentralAir,SaleType,Electrical,BsmtFinSF1,Exterior,OpenPorchSF,BsmtQual,BsmtCond,RoofMatl,HeatingQC,BedroomAbvGr,SalePrice,YrSold,Heating,OverallQual,KitchenAbvGr,GarageType,HouseStyle,OverallCond,TotRmsAbvGrd,Utilities
BrkTil,1774,Y,Gable,2,Inside;Reg;6120;51,90,1Fam,0,1931,2,952,TA,Unf,Y,WD,Fuse,0,OtherSd;TA;TA,0,TA,TA,CompShg,Gd,2,129900,2008,GasA,7,2,Detchd,1.5Story,5,8,AllPub
BrkTil,1452,N,Gable,0,Inside;Reg;4456;33,0,2fmCon,0,1920,2,736,TA,Unf,Y,notWD,SBrkr,0,MetalSd;TA;TA,0,TA,TA,CompShg,Gd,2,113000,2009,GasA,4,3,,2Story,5,8,AllPub
CBlock,747,Y,Gable,0,Corner;Reg;4608;47,0,1Fam,0,1945,1,747,TA,Unf,Y,WD,SBrkr,0,MetalSd;Gd;TA,0,TA,TA,CompShg,TA,2,80000,2010,GasA,4,1,Attchd,1Story,6,4,AllPub
CBlock,1605,Y,notGable,0,Corner;Reg;5790;60,0,1Fam,0,1915,2,840,TA,Unf,N,WD,SBrkr,0,VinylSd;Gd;Gd,0,Fa,TA,CompShg,Gd,3,107400,2010,GasA,3,2,Detchd,2Story,6,8,AllPub
BrkTil,2291,Y,notGable,1,Corner;Reg;7200;60,0,2fmCon,0,1910,2,168,TA,ALQ,N,WD,SBrkr,1046,MetalSd;TA;TA,0,TA,NA,CompShg,Ex,4,133900,2007,GasW,6,2,Detchd,2.5Story,6,9,AllPub
BrkTil,1047,N,notGable,0,Inside;Reg;10800;60,0,1Fam,0,1885,1,641,TA,Unf,Y,WD,SBrkr,0,VinylSd;TA;TA,0,Fa,TA,CompShg,Gd,2,100000,2007,GasA,4,1,Detchd,1Story,7,6,AllPub
CBlock,789,Y,Gable,0,Inside;Reg;6000;50,0,1Fam,0,1948,1,516,TA,ALQ,Y,WD,SBrkr,104,VinylSd;TA;TA,0,TA,TA,CompShg,Ex,2,115000,2008,GasA,5,1,Detchd,1Story,5,5,AllPub
BrkTil,840,N,Gable,1,Inside;IR1;4388;55,0,1Fam,0,1930,1,556,TA,BLQ,Y,WD,SBrkr,116,OtherSd;Gd;TA,0,TA,TA,CompShg,Ex,3,87000,2007,GasA,5,1,,1.5Story,7,5,AllPub
BrkTil,1200,Y,Gable,0,Corner;Reg;11340;84,0,1Fam,0,1923,1,1200,TA,Unf,Y,WD,Fuse,0,OtherSd;TA;TA,0,TA,TA,CompShg,TA,4,125000,2006,GasA,6,1,Detchd,1Story,5,7,AllPub
BrkTil,1616,Y,Gable,0,Corner;Reg;5400;40,0,1Fam,0,1926,2,779,Gd,BLQ,Y,WD,Fuse,370,MetalSd;Gd;TA,0,TA,TA,CompShg,Gd,3,152000,2007,GasA,6,1,Detchd,1Story,7,5,AllPub
CBlock,1382,Y,Gable,0,Inside;IR1;12358;NA,237,1Fam,1,1941,1,360,TA,ALQ,Y,WD,SBrkr,360,MetalSd;TA;TA,0,TA,TA,CompShg,TA,2,128500,2007,GasA,5,1,Detchd,1.5Story,6,7,AllPub
CBlock,968,N,Gable,0,Inside;Reg;8520;60,0,1Fam,0,1923,1,968,TA,Unf,Y,WD,SBrkr,0,OtherSd;TA;Gd,0,TA,TA,CompShg,TA,2,100000,2007,GasA,5,1,Detchd,1Story,6,5,AllPub
PConc,2082,N,Gable,0,Inside;Reg;11426;63,280,1Fam,1,2003,2,1362,Gd,Unf,Y,WD,SBrkr,0,VinylSd;TA;TA,238,Gd,TA,CompShg,Ex,3,200000,2008,GasA,7,1,Detchd,1.5Story,5,6,AllPub
BrkTil,3608,Y,Gable,2,Inside;IR2;22950;90,0,1Fam,1,1892,2,1107,Ex,Unf,Y,WD,SBrkr,0,OtherSd;Gd;Gd,260,TA,TA,notCompShg,Ex,4,475000,2006,GasA,10,1,Detchd,2.5Story,9,12,AllPub
CBlock,2229,Y,Gable,0,Corner;Reg;5520;92,0,1Fam,0,1912,1,755,TA,Unf,Y,WD,SBrkr,0,OtherSd;TA;TA,198,TA,TA,CompShg,Ex,5,104000,2009,GasA,6,1,,2.5Story,6,8,AllPub
BrkTil,1310,Y,Gable,0,Corner;Reg;7000;50,0,1Fam,0,1924,2,0,TA,BLQ,Y,notWD,SBrkr,617,MetalSd;Gd;TA,0,Fa,TA,CompShg,Gd,2,112000,2006,GasA,6,1,Attchd,1.5Story,6,6,AllPub
CBlock,1284,Y,Gable,0,Inside;Reg;3500;50,0,1Fam,1,1947,1,408,TA,BLQ,Y,WD,SBrkr,312,OtherSd;TA;TA,35,TA,TA,CompShg,TA,2,110000,2009,GasA,5,1,Detchd,1.5Story,7,5,AllPub
CBlock,1328,Y,Gable,0,Inside;Reg;9906;57,0,1Fam,0,1925,1,686,TA,Unf,N,WD,SBrkr,0,MetalSd;TA;TA,172,TA,TA,CompShg,Fa,3,107000,2006,GasA,4,1,Detchd,2Story,4,8,AllPub
CBlock,866,Y,Gable,0,Inside;Reg;3880;40,58,1Fam,0,1945,1,357,Gd,ALQ,Y,WD,SBrkr,329,VinylSd;Gd;TA,42,TA,TA,CompShg,Gd,2,110500,2007,GasA,5,1,,1Story,9,4,AllPub
BrkTil,1928,Y,Gable,0,Inside;Reg;9142;69,0,2fmCon,0,1910,2,1020,Fa,Unf,N,WD,Fuse,0,OtherSd;TA;TA,60,Fa,TA,CompShg,Gd,4,137000,2006,GasA,6,2,Detchd,2Story,8,9,AllPub
PConc,882,Y,Gable,0,Inside;Reg;12702;70,0,1Fam,0,1956,1,0,TA,,Y,WD,Fuse,0,OtherSd;TA;TA,45,,NA,CompShg,Gd,2,97000,2008,GasA,5,1,Detchd,1Story,5,4,AllPub
BrkTil,1316,Y,Gable,0,Corner;Reg;5500;50,0,1Fam,0,1929,1,0,TA,BLQ,Y,WD,SBrkr,234,OtherSd;TA;TA,0,TA,TA,CompShg,TA,3,130000,2010,GasA,5,1,Detchd,1.5Story,7,6,AllPub
BrkTil,764,N,Gable,0,Inside;IR3;5232;30,0,1Fam,0,1925,1,680,TA,Unf,N,WD,Fuse,0,OtherSd;TA;TA,0,Fa,TA,CompShg,Gd,2,73000,2008,GasA,5,1,Detchd,1Story,5,4,AllPub
BrkTil,3493,Y,Gable,1,Inside;Reg;18386;87,302,1Fam,0,1880,3,1470,Gd,Unf,Y,WD,SBrkr,0,OtherSd;TA;TA,0,TA,TA,CompShg,Ex,3,295000,2008,GasA,7,1,Attchd,2.5Story,9,10,AllPub
BrkTil,1641,Y,Gable,1,Inside;Reg;9600;60,0,1Fam,1,1925,1,712,Ex,BLQ,Y,WD,SBrkr,16,OtherSd;TA;TA,0,TA,NA,CompShg,Ex,3,178000,2006,GasA,7,1,Detchd,2Story,7,6,AllPub
CBlock,1163,Y,Gable,0,Inside;Reg;5820;49,142,1Fam,0,1955,1,906,TA,ALQ,Y,WD,SBrkr,256,VinylSd;Gd;TA,98,TA,TA,CompShg,Ex,3,126175,2006,GasA,3,1,Attchd,1Story,8,6,AllPub
BrkTil,720,Y,Gable,0,Inside;Reg;8520;60,106,1Fam,0,1928,1,624,TA,Unf,Y,WD,SBrkr,0,VinylSd;Gd;TA,0,TA,TA,CompShg,Gd,2,105900,2010,GasA,6,1,Detchd,1Story,8,5,AllPub
CBlock,1034,Y,Gable,0,Inside;Reg;10134;60,0,1Fam,0,1940,1,735,TA,Unf,Y,WD,Fuse,0,MetalSd;TA;TA,39,TA,TA,CompShg,Gd,2,109000,2007,GasA,5,1,Detchd,1.5Story,6,5,AllPub
CBlock,1389,P,Gable,2,Inside;Reg;3378;60,0,1Fam,1,1946,1,651,TA,Unf,Y,WD,SBrkr,0,OtherSd;Gd;TA,0,TA,TA,CompShg,Gd,3,135000,2009,GasA,7,1,Detchd,2Story,8,6,AllPub
BrkTil,1118,Y,Gable,0,Inside;Reg;4400;40,0,1Fam,0,1920,1,648,TA,Unf,Y,WD,Fuse,0,OtherSd;TA;TA,0,Fa,TA,CompShg,TA,2,116000,2006,GasA,6,1,Detchd,1.5Story,8,6,AllPub
CBlock,1183,Y,Gable,0,Inside;Reg;6000;50,0,1Fam,1,1948,1,318,TA,ALQ,Y,WD,SBrkr,331,MetalSd;Gd;TA,176,TA,TA,CompShg,Ex,2,120000,2007,GasA,3,1,Detchd,1.5Story,7,6,AllPub
BrkTil,813,N,notGable,0,Inside;Reg;5684;70,0,1Fam,0,1930,1,813,Gd,Unf,Y,WD,Fuse,0,OtherSd;TA;TA,113,TA,TA,CompShg,Ex,2,110000,2006,GasA,6,1,Detchd,1Story,8,5,AllPub
BrkTil,1344,Y,Gable,0,Inside;Reg;4571;34,0,1Fam,0,1916,1,624,TA,Unf,N,notWD,SBrkr,0,OtherSd;TA;TA,0,TA,TA,CompShg,Fa,4,98000,2008,GasA,5,1,Detchd,2Story,5,7,AllPub
BrkTil,1131,Y,notGable,0,Inside;Reg;5925;50,0,1Fam,0,1937,1,739,TA,ALQ,Y,WD,SBrkr,168,OtherSd;TA;TA,72,Fa,TA,CompShg,TA,2,89471,2007,GasA,4,1,Detchd,1Story,7,7,AllPub
CBlock,2414,N,Gable,1,Corner;Reg;10800;60,142,2fmCon,0,1900,2,290,TA,BLQ,N,notWD,Fuse,664,OtherSd;TA;TA,0,TA,NA,CompShg,TA,3,160000,2006,GasA,5,2,Attchd,1.5Story,4,10,AllPub
BrkTil,886,Y,Gable,0,Inside;Reg;5784;50,144,1Fam,0,1938,1,190,TA,Unf,Y,WD,Fuse,0,MetalSd;TA;TA,20,Fa,TA,CompShg,Gd,2,91300,2009,GasA,5,1,Attchd,1Story,8,4,AllPub
CBlock,1960,N,notGable,0,Inside;Reg;7596;60,0,Duplex,0,1952,2,960,TA,Unf,Y,notWD,SBrkr,0,OtherSd;TA;TA,0,TA,TA,CompShg,Gd,4,124500,2009,GasA,5,2,Detchd,2Story,5,10,AllPub
BrkTil,1294,N,Gable,0,Inside;Reg;10800;60,220,2fmCon,0,1900,2,0,TA,,N,WD,Fuse,0,MetalSd;TA;TA,114,,NA,CompShg,TA,3,106250,2008,GasA,4,2,,2Story,7,7,AllPub
CBlock,825,Y,Gable,0,Inside;IR1;8235;49,140,1Fam,0,1955,1,0,TA,BLQ,Y,WD,SBrkr,180,MetalSd;Gd;TA,50,TA,TA,CompShg,TA,2,125000,2008,GasA,5,1,Detchd,1Story,7,4,AllPub
CBlock,928,Y,notGable,0,Inside;Reg;6000;50,0,1Fam,0,1957,1,620,TA,ALQ,Y,WD,Fuse,308,OtherSd;TA;TA,0,TA,TA,CompShg,Gd,3,112500,2008,GasA,5,1,Attchd,1Story,6,5,AllPub
BrkTil,1795,Y,Gable,0,Inside;Reg;12150;81,0,1Fam,0,1954,2,1050,TA,Unf,N,WD,Fuse,0,MetalSd;TA;TA,0,TA,TA,CompShg,Ex,4,131500,2008,GasA,5,1,Attchd,1.5Story,5,7,AllPub
CBlock,1368,N,Gable,0,Inside;Reg;3600;60,0,1Fam,0,1910,1,684,TA,Unf,N,WD,Fuse,0,VinylSd;TA;TA,158,TA,TA,CompShg,Ex,3,114504,2006,GasA,6,1,Detchd,2Story,7,7,AllPub
BrkTil,1750,N,Gable,0,Corner;Reg;9000;50,0,1Fam,0,1880,1,636,Ex,Unf,Y,WD,Fuse,0,VinylSd;TA;TA,0,Fa,NA,CompShg,TA,3,124000,2006,GasA,5,1,Detchd,2Story,6,8,AllPub
CBlock,1387,Y,Gable,0,Inside;Reg;6000;50,0,2fmCon,0,1954,2,811,Gd,Unf,Y,WD,Fuse,0,OtherSd;TA;TA,0,TA,TA,CompShg,TA,3,93000,2009,GasA,5,2,Attchd,1.5Story,4,7,AllPub
BrkTil,792,N,Gable,0,Inside;Reg;9022;52,316,1Fam,0,1924,1,768,Gd,Unf,Y,WD,SBrkr,0,VinylSd;TA;Gd,0,TA,TA,CompShg,Ex,2,109500,2009,GasA,5,1,Detchd,1Story,8,5,AllPub
BrkTil,2554,P,Gable,0,Inside;Reg;10800;60,0,1Fam,1,1890,1,718,TA,Unf,Y,WD,SBrkr,0,OtherSd;Gd;TA,48,TA,TA,CompShg,Ex,3,159500,2007,GasA,7,1,Detchd,2Story,8,8,AllPub
BrkTil,1768,N,Gable,2,Inside;Reg;10800;60,0,1Fam,1,1914,1,490,TA,ALQ,N,WD,SBrkr,390,OtherSd;TA;TA,341,Gd,TA,CompShg,Fa,2,163000,2006,GasW,7,1,Detchd,2.5Story,7,6,AllPub
BrkTil,1432,Y,Gable,0,Inside;Reg;9600;60,270,1Fam,0,1910,2,264,TA,Unf,Y,WD,SBrkr,0,OtherSd;Gd;TA,0,Fa,NA,CompShg,Ex,2,132000,2007,GasA,5,1,Detchd,2Story,7,7,AllPub
BrkTil,2640,N,notGable,1,Corner;IR1;11700;65,181,1Fam,1,1880,1,1240,Gd,Unf,N,WD,SBrkr,0,OtherSd;TA;Gd,0,TA,NA,CompShg,TA,4,265979,2009,GasW,7,1,Detchd,2Story,7,8,AllPub
CBlock,1484,Y,Gable,1,Inside;Reg;6300;35,0,1Fam,0,1914,2,742,TA,Unf,Y,WD,SBrkr,0,OtherSd;TA;TA,291,TA,TA,CompShg,Ex,3,128000,2008,GasA,6,1,,2.5Story,6,9,AllPub
PConc,1652,Y,Gable,0,Inside;Reg;10800;60,0,1Fam,0,1915,2,0,TA,BLQ,Y,WD,SBrkr,686,MetalSd;Gd;TA,0,Fa,TA,CompShg,TA,4,139000,2010,GasA,5,1,Detchd,1.5Story,6,7,AllPub
CBlock,901,Y,Gable,0,Corner;Reg;6000;50,0,1Fam,0,1954,1,901,TA,Unf,Y,WD,SBrkr,0,MetalSd;TA;TA,0,TA,TA,CompShg,Ex,2,107900,2008,GasA,4,1,Detchd,1Story,7,4,AllPub
PConc,2138,N,notGable,0,Corner;Reg;8100;90,40,1Fam,0,1898,2,849,TA,Unf,N,WD,Fuse,0,OtherSd;TA;TA,156,TA,TA,CompShg,TA,2,106000,2009,GasA,5,3,Detchd,2.5Story,5,11,AllPub
CBlock,936,Y,Gable,0,Inside;Reg;6000;60,0,2fmCon,0,1953,1,936,TA,Unf,N,WD,SBrkr,0,MetalSd;TA;TA,32,Fa,TA,CompShg,TA,2,93000,2009,GasA,4,1,Detchd,1Story,4,4,AllPub
BrkTil,1559,Y,Gable,0,Inside;Reg;8100;90,0,1Fam,0,1948,1,1221,TA,ALQ,Y,notWD,SBrkr,338,VinylSd;TA;TA,116,TA,TA,CompShg,Gd,2,153500,2007,GasA,5,1,Detchd,1Story,6,5,AllPub
PConc,1539,P,Gable,1,Inside;Reg;10440;60,70,1Fam,0,1904,2,650,Gd,Unf,Y,WD,SBrkr,0,MetalSd;TA;TA,78,TA,TA,CompShg,Gd,3,157500,2008,GasA,5,1,Detchd,2Story,8,8,AllPub
BrkTil,1416,Y,Gable,1,Inside;IR1;12665;100,418,1Fam,1,1915,1,876,TA,Unf,Y,WD,SBrkr,0,OtherSd;TA;TA,0,TA,TA,CompShg,Gd,4,153900,2008,GasA,5,1,Detchd,1.5Story,8,7,AllPub
CBlock,1131,Y,Gable,0,Inside;Reg;5720;52,26,1Fam,1,1941,1,676,TA,Unf,Y,WD,SBrkr,0,OtherSd;TA;TA,0,TA,TA,CompShg,Ex,3,66500,2009,GasA,5,1,Detchd,1.5Story,6,5,AllPub
BrkTil,1869,Y,notGable,0,Corner;Reg;8820;98,48,1Fam,0,1890,1,0,TA,BLQ,Y,WD,SBrkr,1088,VinylSd;TA;TA,0,TA,TA,CompShg,TA,2,124900,2009,GasA,5,1,Detchd,1.5Story,6,7,AllPub
BrkTil,968,Y,Gable,0,Inside;Reg;5925;50,0,1Fam,0,1910,1,600,TA,Unf,N,WD,SBrkr,0,VinylSd;TA;TA,0,TA,TA,CompShg,Fa,2,37900,2009,Grav,3,1,,1.5Story,6,6,AllPub
CBlock,1635,Y,notGable,0,Corner;Reg;5310;59,394,1Fam,0,1910,1,485,Gd,Unf,Y,WD,SBrkr,0,VinylSd;Gd;TA,0,TA,NA,CompShg,Gd,2,117000,2006,GasA,6,1,Attchd,1.5Story,8,5,AllPub
BrkTil,1742,P,Gable,1,Corner;Reg;17671;121,0,1Fam,1,1882,1,700,Gd,BLQ,Y,WD,SBrkr,216,OtherSd;Gd;Gd,169,TA,TA,CompShg,Gd,4,168000,2009,GasA,8,1,Attchd,2Story,9,8,AllPub
BrkTil,691,N,Gable,0,Corner;Reg;5400;60,0,1Fam,0,1920,1,691,Ex,Unf,Y,WD,Fuse,0,OtherSd;TA;TA,20,Fa,TA,CompShg,Ex,2,86000,2007,GasA,5,1,Detchd,1Story,6,4,AllPub
CBlock,1248,Y,Gable,0,Inside;Reg;9439;52,0,1Fam,0,1930,1,588,TA,BLQ,Y,WD,Fuse,324,OtherSd;TA;TA,0,TA,TA,CompShg,Gd,2,87000,2007,GasA,5,1,Detchd,1.5Story,5,6,AllPub
BrkTil,2337,Y,Gable,0,Inside;Reg;13600;85,0,2fmCon,0,1900,2,662,TA,Unf,N,WD,SBrkr,0,OtherSd;TA;TA,57,TA,TA,CompShg,TA,5,90000,2007,GasA,5,2,Detchd,2Story,5,10,AllPub
CBlock,1466,Y,Gable,1,Inside;Reg;10800;60,436,1Fam,0,1936,2,170,Gd,ALQ,Y,WD,SBrkr,626,OtherSd;TA;TA,21,Fa,TA,CompShg,Gd,3,170000,2006,GasA,5,1,Attchd,1.5Story,8,7,AllPub
CBlock,833,Y,Gable,0,Inside;Reg;5400;90,0,1Fam,0,1954,1,418,Gd,ALQ,Y,WD,SBrkr,415,MetalSd;Gd;TA,0,TA,TA,CompShg,Ex,2,117000,2006,GasA,5,1,Detchd,1Story,7,4,AllPub
PConc,1111,Y,Gable,1,Inside;Reg;5700;NA,0,1Fam,0,1926,1,572,TA,Unf,Y,WD,SBrkr,0,OtherSd;TA;TA,0,TA,TA,CompShg,TA,2,116900,2008,GasA,7,1,Detchd,1.5Story,7,5,AllPub
PConc,1482,Y,notGable,0,Inside;Reg;9000;50,0,1Fam,0,1920,1,26,TA,ALQ,Y,WD,SBrkr,624,VinylSd;Gd;TA,0,TA,TA,CompShg,Ex,3,143000,2009,GasA,7,1,Detchd,2Story,9,7,AllPub
CBlock,1224,N,Gable,0,Inside;Reg;3950;NA,0,1Fam,0,1926,1,350,TA,ALQ,Y,WD,SBrkr,468,MetalSd;TA;TA,0,TA,TA,CompShg,TA,3,115000,2009,GasA,6,1,Detchd,1.5Story,8,5,AllPub
BrkTil,1130,Y,notGable,1,Inside;Reg;10800;60,229,1Fam,0,1920,1,299,TA,ALQ,Y,WD,SBrkr,821,OtherSd;TA;TA,0,TA,TA,CompShg,Ex,2,120000,2006,GasA,5,1,Detchd,1Story,6,5,AllPub
CBlock,1699,Y,Gable,0,Corner;IR1;10615;107,0,2fmCon,0,1900,2,538,TA,BLQ,Y,WD,SBrkr,440,OtherSd;TA;TA,74,Fa,TA,CompShg,TA,3,95000,2009,GasA,3,2,Detchd,2Story,5,7,AllPub
PConc,1472,P,notGable,0,Inside;Reg;9600;60,0,1Fam,0,1925,1,702,Gd,Unf,Y,WD,SBrkr,0,VinylSd;TA;TA,0,TA,TA,CompShg,Gd,3,125000,2007,GasA,5,1,Detchd,1.5Story,8,6,AllPub
BrkTil,1690,Y,Gable,1,Corner;IR1;8850;65,0,1Fam,0,1916,1,815,TA,Unf,Y,notWD,SBrkr,0,MetalSd;TA;TA,0,TA,TA,CompShg,Ex,3,144000,2006,GasA,7,1,Detchd,2.5Story,6,7,AllPub
CBlock,1889,N,notGable,1,Inside;IR1;10120;60,0,2fmCon,1,1910,1,925,TA,Unf,N,WD,Fuse,0,OtherSd;TA;TA,0,TA,TA,CompShg,TA,4,122000,2007,GasA,7,2,Detchd,2.5Story,4,9,AllPub
BrkTil,2372,Y,Gable,0,Corner;Reg;6600;60,0,1Fam,0,1892,2,994,TA,Unf,N,WD,SBrkr,0,OtherSd;TA;TA,287,TA,TA,CompShg,TA,4,107500,2009,GasA,5,2,Attchd,2Story,4,11,AllPub
CBlock,1122,Y,Gable,0,Inside;Reg;12000;100,0,1Fam,0,1948,1,172,Gd,GLQ,Y,WD,SBrkr,144,MetalSd;TA;TA,36,TA,TA,CompShg,Ex,2,147000,2008,GasA,5,1,Attchd,1Story,7,6,AllPub
BrkTil,2792,Y,Gable,2,Corner;Reg;10440;60,0,1Fam,0,1920,2,1017,TA,BLQ,Y,WD,SBrkr,493,OtherSd;Gd;Gd,547,Gd,TA,CompShg,Ex,5,256000,2008,GasW,6,1,Detchd,1.5Story,7,8,AllPub
CBlock,693,N,Gable,0,Corner;IR1;4118;153,0,1Fam,0,1941,1,693,Fa,Unf,N,WD,Fuse,0,OtherSd;TA;TA,20,TA,TA,CompShg,Fa,2,52500,2006,Grav,4,1,,1Story,4,4,AllPub
BrkTil,2358,Y,Gable,0,Inside;Reg;5250;50,0,1Fam,0,1872,2,425,TA,BLQ,N,WD,SBrkr,259,MetalSd;Gd;TA,54,TA,NA,CompShg,Fa,4,122000,2008,OthW,8,1,,2Story,5,8,AllPub
PConc,1374,Y,Gable,0,Corner;Reg;5400;90,0,1Fam,0,1920,1,420,TA,ALQ,Y,WD,SBrkr,315,OtherSd;TA;TA,0,TA,TA,CompShg,Ex,2,105000,2009,GasA,4,1,Detchd,1.5Story,6,6,AllPub
BrkTil,1762,N,notGable,0,Corner;Reg;7200;60,36,1Fam,1,1920,1,596,Gd,Unf,Y,WD,SBrkr,0,OtherSd;TA;TA,0,Fa,TA,CompShg,Ex,4,157000,2006,GasA,7,1,Detchd,2Story,7,8,AllPub
BrkTil,2526,Y,Gable,1,Inside;Reg;8520;60,88,1Fam,0,1916,2,0,Gd,ALQ,N,notWD,SBrkr,168,OtherSd;Gd;TA,15,TA,TA,CompShg,TA,5,136000,2007,GasW,6,1,Detchd,1.5Story,7,10,AllPub
BrkTil,1912,Y,Gable,1,Inside;Reg;10800;60,0,2fmCon,0,1905,2,482,TA,Unf,N,WD,SBrkr,0,OtherSd;TA;TA,25,Fa,TA,CompShg,Ex,3,163000,2008,GasA,6,2,Detchd,1.5Story,7,7,AllPub
PConc,1214,Y,Gable,0,Corner;Reg;10410;60,216,1Fam,0,1915,1,672,TA,Unf,Y,WD,SBrkr,0,OtherSd;TA;TA,0,TA,TA,CompShg,TA,3,105000,2006,GasA,3,1,Detchd,1.5Story,4,6,AllPub
CBlock,1363,Y,Gable,0,Inside;Reg;7740;60,0,1Fam,0,1910,1,622,TA,Unf,Y,WD,SBrkr,0,VinylSd;TA;TA,0,Fa,TA,CompShg,Gd,3,125500,2010,GasA,4,1,Detchd,2Story,7,6,AllPub
PConc,2290,N,Gable,0,Inside;Reg;11340;60,0,2fmCon,0,1885,2,777,TA,Unf,Y,WD,SBrkr,0,VinylSd;TA;TA,0,TA,TA,CompShg,Gd,4,122500,2010,GasA,4,2,Detchd,2Story,6,11,AllPub
CBlock,804,Y,Gable,2,Corner;Reg;7200;60,0,1Fam,0,1940,1,278,Gd,BLQ,Y,WD,SBrkr,510,MetalSd;Gd;TA,0,TA,TA,CompShg,TA,2,119000,2010,GasA,5,1,Attchd,1Story,7,4,AllPub
BrkTil,1869,Y,notGable,0,Corner;Reg;8820;98,48,1Fam,0,1890,1,0,TA,BLQ,Y,WD,SBrkr,1088,VinylSd;TA;TA,0,TA,TA,CompShg,TA,2,124900,2009,GasA,5,1,Detchd,1.5Story,6,7,AllPub
