OverallQual,BedroomAbvGr,CentralAir,BsmtQual,BsmtUnfSF,Fireplaces,YrSold,HouseStyle,HeatingQC,GarageType,RoofMatl,PavedDrive,SaleType,FullBath,OpenPorchSF,RoofStyle,Utilities,BsmtFinSF1,Heating,KitchenQual,HalfBath,BsmtFinType1,WoodDeckSF,TotRmsAbvGrd,SalePrice,YearBuilt,BsmtCond,Foundation,Electrical,BldgType,OverallCond,GrLivArea,neighborhood,KitchenAbvGr,uniqueID,LotConfig,LotShape,LotArea,LotFrontage,Exterior1st,ExterQual,ExterCond
7,3,Y,Gd,150.0,0,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,61,Gable,AllPub,706,GasA,Gd,1,GLQ,0,8,208500.0,2003,TA,PConc,SBrkr,1Fam,5,1710,CollegeCr,1,train,Inside,Reg,8450,65.0,VinylSd,TA,Gd
7,3,Y,Gd,434.0,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,42,Gable,AllPub,486,GasA,Gd,1,GLQ,0,6,223500.0,2001,TA,PConc,SBrkr,1Fam,5,1786,CollegeCr,1,train,Inside,IR1,11250,68.0,VinylSd,TA,Gd
8,3,Y,Gd,1777.0,1,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,159,notGable,AllPub,0,GasA,Gd,0,Unf,171,7,230000.0,2002,TA,PConc,SBrkr,1Fam,5,1795,CollegeCr,1,train,Inside,Reg,9742,75.0,VinylSd,TA,Gd
8,3,Y,Ex,1234.0,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,30,Gable,AllPub,0,GasA,Gd,0,Unf,0,7,179900.0,2007,TA,PConc,SBrkr,1Fam,5,1234,CollegeCr,1,train,Corner,Reg,11049,85.0,VinylSd,TA,Gd
5,3,Y,Gd,167.0,0,2008,1Story,TA,Detchd,CompShg,Y,WD,1,0,notGable,AllPub,280,GasA,TA,0,BLQ,145,5,130250.0,1975,TA,CBlock,SBrkr,1Fam,6,938,CollegeCr,1,train,CulDSac,IR1,9200,70.0,VinylSd,TA,TA
7,3,Y,Gd,860.0,0,2006,2Story,Ex,Attchd,CompShg,Y,WD,2,70,Gable,AllPub,0,GasA,Gd,1,Unf,0,7,196500.0,2004,TA,PConc,SBrkr,1Fam,5,1720,CollegeCr,1,train,Corner,IR1,11645,89.0,VinylSd,TA,Gd
5,2,Y,TA,148.0,0,2008,1Story,Ex,Detchd,CompShg,Y,WD,1,0,Gable,AllPub,632,GasA,TA,0,ALQ,196,4,124900.0,1972,TA,CBlock,SBrkr,1Fam,7,780,CollegeCr,1,train,Inside,Reg,7200,60.0,OtherSd,TA,TA
7,3,Y,Gd,318.0,0,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,AllPub,739,GasA,Gd,1,GLQ,576,8,219500.0,1997,TA,PConc,SBrkr,1Fam,5,2034,CollegeCr,1,train,Inside,Reg,9375,70.0,VinylSd,TA,TA
7,3,Y,Gd,440.0,0,2007,1Story,Ex,Attchd,CompShg,Y,WD,2,29,Gable,AllPub,1013,GasA,Gd,0,GLQ,144,7,226000.0,2003,TA,PConc,SBrkr,1Fam,5,1479,CollegeCr,1,train,Inside,IR1,10665,72.0,VinylSd,TA,Gd
4,3,Y,Gd,402.0,0,2007,1Story,Ex,NA,CompShg,Y,WD,1,0,Gable,AllPub,588,GasA,TA,0,GLQ,0,5,123600.0,1994,TA,PConc,SBrkr,1Fam,5,990,CollegeCr,1,train,Inside,Reg,8070,60.0,VinylSd,TA,TA
6,3,Y,Gd,176.0,0,2007,2Story,Ex,Attchd,CompShg,Y,WD,2,162,Gable,AllPub,648,GasA,Gd,1,GLQ,0,7,204750.0,1997,TA,PConc,SBrkr,1Fam,5,1786,CollegeCr,1,train,Inside,IR1,9337,69.0,VinylSd,Gd,TA
7,3,Y,Gd,1226.0,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,AllPub,0,GasA,Gd,0,Unf,0,6,198900.0,2009,TA,PConc,SBrkr,1Fam,5,1226,CollegeCr,1,train,Corner,IR1,10402,94.0,VinylSd,TA,TA
7,4,Y,Ex,280.0,1,2007,2Story,Ex,Attchd,CompShg,Y,notWD,2,184,Gable,AllPub,984,GasA,Ex,1,GLQ,120,10,383970.0,2007,TA,PConc,SBrkr,1Fam,5,2696,CollegeCr,1,train,Inside,Reg,9965,77.0,VinylSd,TA,Gd
6,3,Y,Gd,728.0,1,2006,2Story,Ex,Attchd,CompShg,Y,notWD,2,24,Gable,AllPub,0,GasA,Gd,1,Unf,0,8,163990.0,2005,TA,PConc,SBrkr,1Fam,5,1456,CollegeCr,1,train,Inside,Reg,8461,65.0,VinylSd,TA,Gd
7,3,Y,Gd,434.0,0,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,24,Gable,AllPub,1300,GasA,Gd,0,GLQ,160,7,260000.0,2005,TA,PConc,SBrkr,1Fam,5,1734,CollegeCr,1,train,Inside,Reg,11645,78.0,VinylSd,TA,Gd
7,3,Y,Gd,811.0,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,29,Gable,AllPub,679,GasA,Gd,0,GLQ,144,6,204000.0,1999,TA,PConc,SBrkr,1Fam,5,1501,CollegeCr,1,train,Inside,IR1,10335,78.0,VinylSd,TA,Gd
5,3,Y,TA,253.0,0,2007,1Story,TA,Attchd,CompShg,Y,WD,1,0,Gable,AllPub,716,GasA,TA,1,BLQ,0,5,122000.0,1975,TA,CBlock,SBrkr,1Fam,6,969,CollegeCr,1,train,Corner,Reg,10356,120.0,OtherSd,TA,TA
7,3,Y,Gd,871.0,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,35,Gable,AllPub,560,GasA,Gd,0,GLQ,0,6,192000.0,1999,TA,PConc,SBrkr,1Fam,5,1431,CollegeCr,1,train,Inside,IR1,9017,68.0,VinylSd,TA,Gd
5,3,Y,TA,474.0,0,2008,1Story,TA,Detchd,CompShg,Y,WD,1,0,notGable,AllPub,390,GasA,TA,0,ALQ,0,5,127000.0,1972,TA,CBlock,SBrkr,1Fam,7,864,CollegeCr,1,train,Inside,IR1,7180,60.0,OtherSd,TA,TA
6,1,Y,Gd,186.0,1,2008,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,AllPub,662,GasA,Gd,0,GLQ,149,3,149000.0,2004,TA,PConc,SBrkr,Twnhs,5,848,CollegeCr,1,train,Inside,Reg,4438,70.0,VinylSd,TA,Gd
6,3,Y,Gd,311.0,0,2010,2Story,Ex,Attchd,CompShg,Y,WD,1,36,Gable,AllPub,378,GasA,TA,1,GLQ,0,6,161750.0,1977,TA,CBlock,SBrkr,1Fam,7,1392,CollegeCr,1,train,FR2,IR1,10900,70.0,OtherSd,TA,TA
7,3,Y,Gd,490.0,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,98,Gable,AllPub,946,GasA,Gd,0,GLQ,139,8,210000.0,2004,TA,PConc,SBrkr,1Fam,5,1436,CollegeCr,1,train,Inside,Reg,8450,65.0,VinylSd,TA,Gd
7,2,Y,Gd,1498.0,0,2006,1Story,Ex,Attchd,CompShg,Y,notWD,2,33,Gable,AllPub,0,GasA,Gd,0,Unf,351,5,204900.0,2006,TA,PConc,SBrkr,1Fam,5,1498,CollegeCr,1,train,Inside,IR1,8990,73.0,VinylSd,TA,Gd
7,3,Y,Gd,1390.0,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,105,Gable,AllPub,24,GasA,Gd,0,GLQ,132,6,185500.0,2004,TA,PConc,SBrkr,1Fam,5,1414,CollegeCr,1,train,FR2,Reg,8773,65.0,VinylSd,TA,Gd
7,3,Y,Gd,840.0,0,2007,2Story,Ex,Attchd,CompShg,Y,WD,2,68,Gable,AllPub,0,GasA,Gd,1,Unf,144,8,180000.0,2003,TA,PConc,SBrkr,1Fam,5,1668,CollegeCr,1,train,Inside,Reg,11317,72.0,VinylSd,TA,Gd
7,3,Y,Gd,270.0,1,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,110,Gable,AllPub,1334,GasA,Gd,1,GLQ,123,8,220000.0,2006,TA,PConc,SBrkr,1Fam,5,1604,CollegeCr,1,train,Inside,Reg,8814,68.0,VinylSd,TA,Gd
7,3,Y,Gd,602.0,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,96,Gable,AllPub,361,GasA,Gd,1,GLQ,0,7,231500.0,2001,TA,PConc,SBrkr,1Fam,5,1792,CollegeCr,1,train,Inside,Reg,12435,80.0,VinylSd,TA,Gd
8,3,Y,Gd,1079.0,1,2006,2Story,Ex,Attchd,CompShg,Y,notWD,2,51,Gable,AllPub,0,GasA,Gd,1,Unf,0,8,233230.0,2006,TA,PConc,SBrkr,1Fam,5,1919,CollegeCr,1,train,Inside,Reg,15611,120.0,VinylSd,TA,Gd
5,3,Y,TA,0.0,0,2006,1Story,TA,Attchd,CompShg,Y,WD,1,0,Gable,AllPub,894,GasA,TA,0,ALQ,256,5,149900.0,1972,TA,PConc,SBrkr,1Fam,7,894,CollegeCr,1,train,Corner,Reg,9800,70.0,VinylSd,TA,TA
7,3,Y,Gd,726.0,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,74,Gable,AllPub,810,GasA,Gd,0,GLQ,192,7,214000.0,2002,TA,PConc,SBrkr,1Fam,5,1536,CollegeCr,1,train,Inside,Reg,9135,70.0,VinylSd,TA,Gd
7,4,Y,Gd,847.0,1,2007,2Story,Ex,Attchd,CompShg,Y,WD,2,48,Gable,AllPub,0,GasA,Gd,1,Unf,100,8,219500.0,2003,TA,PConc,SBrkr,1Fam,5,1928,CollegeCr,1,train,Inside,Reg,8200,65.0,VinylSd,TA,Gd
7,3,Y,Gd,1468.0,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,25,Gable,AllPub,0,GasA,Gd,0,Unf,120,6,191000.0,1999,TA,PConc,SBrkr,1Fam,5,1479,CollegeCr,1,train,CulDSac,IR1,9382,93.0,VinylSd,TA,Gd
5,2,Y,TA,117.0,0,2009,1Story,TA,Detchd,CompShg,Y,WD,1,0,notGable,AllPub,777,GasA,TA,0,ALQ,215,6,123000.0,1972,TA,CBlock,SBrkr,1Fam,5,894,CollegeCr,1,train,Inside,Reg,7200,60.0,MetalSd,TA,TA
7,3,Y,Gd,70.0,1,2009,2Story,Ex,Attchd,CompShg,Y,notWD,2,61,Gable,AllPub,385,GasA,Gd,1,GLQ,158,6,212000.0,1996,TA,PConc,SBrkr,1Fam,6,1661,CollegeCr,1,train,CulDSac,IR2,10667,43.0,VinylSd,TA,Gd
7,4,Y,Gd,273.0,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,133,Gable,AllPub,642,GasA,Gd,1,GLQ,144,8,210000.0,1994,TA,PConc,SBrkr,1Fam,5,1908,CollegeCr,1,train,Inside,Reg,8750,70.0,VinylSd,Gd,Gd
5,3,Y,Gd,424.0,0,2009,1Story,TA,NA,CompShg,Y,WD,2,0,Gable,AllPub,616,GasA,TA,0,ALQ,0,5,124000.0,1978,TA,CBlock,SBrkr,1Fam,5,1040,CollegeCr,1,train,Inside,Reg,8430,60.0,OtherSd,TA,TA
6,3,Y,Gd,484.0,1,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,39,Gable,AllPub,994,GasA,Gd,0,GLQ,140,7,208900.0,1997,TA,PConc,SBrkr,1Fam,5,1493,CollegeCr,1,train,Inside,Reg,13125,75.0,VinylSd,TA,TA
6,3,Y,Gd,88.0,0,2007,2Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,AllPub,706,GasA,TA,1,GLQ,0,7,211000.0,1998,TA,PConc,SBrkr,1Fam,5,1796,CollegeCr,1,train,CulDSac,IR1,9531,70.0,VinylSd,TA,TA
7,3,Y,Gd,880.0,0,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,155,Gable,AllPub,0,GasA,Gd,1,Unf,120,8,188000.0,1998,TA,PConc,SBrkr,1Fam,5,1724,CollegeCr,1,train,CulDSac,IR1,8924,57.0,VinylSd,TA,TA
8,3,Y,Gd,223.0,1,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,0,Gable,AllPub,1358,GasA,Gd,0,GLQ,180,6,272000.0,2001,TA,PConc,SBrkr,1Fam,5,1601,CollegeCr,1,train,Inside,Reg,11423,70.0,VinylSd,TA,Gd
6,1,Y,Gd,163.0,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,AllPub,685,GasA,Gd,0,GLQ,140,4,140000.0,2003,TA,PConc,SBrkr,Twnhs,5,848,CollegeCr,1,train,Inside,Reg,4435,70.0,VinylSd,TA,Gd
7,3,Y,Gd,572.0,1,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,AllPub,922,GasA,Gd,0,GLQ,192,6,221000.0,2002,TA,PConc,SBrkr,1Fam,5,1494,CollegeCr,1,train,Inside,IR1,12803,88.0,VinylSd,TA,Gd
5,3,Y,Gd,308.0,0,2009,1Story,Gd,Detchd,CompShg,Y,WD,1,0,Gable,AllPub,732,GasA,Gd,0,GLQ,168,6,152000.0,1996,TA,PConc,SBrkr,1Fam,5,1040,CollegeCr,1,train,Corner,IR2,12464,82.0,VinylSd,Gd,TA
9,3,Y,Ex,536.0,2,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,142,notGable,AllPub,904,GasA,Ex,1,GLQ,253,8,313000.0,2000,TA,PConc,SBrkr,1Fam,5,2153,CollegeCr,1,train,Inside,Reg,11050,70.0,VinylSd,TA,Gd
8,3,Y,Gd,309.0,1,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,122,Gable,AllPub,990,GasA,Ex,1,GLQ,160,7,261500.0,2001,TA,PConc,SBrkr,1Fam,5,1872,CollegeCr,1,train,Inside,Reg,11885,70.0,VinylSd,TA,Gd
7,2,Y,Gd,880.0,1,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,120,Gable,AllPub,0,GasA,Gd,1,Unf,0,7,191000.0,1996,TA,PConc,SBrkr,1Fam,5,1716,CollegeCr,1,train,Inside,Reg,8750,70.0,VinylSd,TA,Gd
6,1,Y,Gd,151.0,1,2008,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,AllPub,697,GasA,Gd,0,GLQ,149,3,141000.0,2004,TA,PConc,SBrkr,Twnhs,5,848,CollegeCr,1,train,Inside,Reg,4426,70.0,VinylSd,TA,Gd
7,3,Y,Gd,761.0,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,35,Gable,AllPub,712,GasA,Gd,0,GLQ,0,7,213000.0,2004,TA,PConc,SBrkr,1Fam,5,1484,CollegeCr,1,train,Inside,Reg,8400,70.0,VinylSd,TA,Gd
5,3,Y,Gd,448.0,1,2006,1Story,TA,Attchd,CompShg,Y,WD,1,0,Gable,AllPub,523,GasA,TA,1,ALQ,0,5,128500.0,1969,TA,CBlock,SBrkr,1Fam,6,971,CollegeCr,1,train,Inside,IR1,9920,69.0,OtherSd,TA,TA
6,1,Y,Gd,186.0,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,AllPub,662,GasA,Gd,0,GLQ,160,3,143000.0,2004,TA,PConc,SBrkr,Twnhs,5,848,CollegeCr,1,train,Inside,Reg,4426,70.0,VinylSd,TA,Gd
7,2,Y,Gd,508.0,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,0,Gable,AllPub,724,GasA,Gd,0,GLQ,132,6,194500.0,2007,TA,PConc,SBrkr,1Fam,5,1232,CollegeCr,1,train,Inside,Reg,7314,64.0,VinylSd,TA,Gd
7,3,Y,Gd,901.0,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,84,Gable,AllPub,252,GasA,Gd,1,ALQ,192,8,222500.0,1998,TA,PConc,SBrkr,1Fam,5,2031,CollegeCr,1,train,Inside,IR1,11404,75.0,VinylSd,TA,Gd
7,3,Y,Gd,864.0,0,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,56,Gable,AllPub,0,GasA,Gd,1,Unf,187,7,190000.0,2004,TA,PConc,SBrkr,1Fam,5,1728,CollegeCr,1,train,Inside,IR1,9313,65.0,VinylSd,TA,Gd
6,3,Y,Gd,279.0,0,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,27,Gable,AllPub,1200,GasA,Gd,0,GLQ,168,6,217000.0,1997,TA,PConc,SBrkr,1Fam,5,1494,CollegeCr,1,train,Inside,IR1,9236,79.0,VinylSd,Gd,TA
8,3,Y,Gd,846.0,0,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,105,Gable,AllPub,20,GasA,Gd,1,GLQ,144,7,212000.0,2007,TA,PConc,SBrkr,1Fam,5,1768,CollegeCr,1,train,Inside,IR1,10769,68.0,VinylSd,TA,Gd
7,3,Y,Gd,1836.0,1,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,33,notGable,AllPub,24,GasA,Gd,0,GLQ,120,8,216837.0,2004,TA,PConc,SBrkr,1Fam,5,1836,CollegeCr,1,train,Inside,Reg,9100,70.0,VinylSd,TA,Gd
7,3,Y,Gd,1594.0,0,2006,1Story,Ex,Attchd,CompShg,Y,notWD,2,59,Gable,AllPub,20,GasA,Gd,0,GLQ,144,7,221500.0,2005,TA,PConc,SBrkr,1Fam,5,1614,CollegeCr,1,train,Inside,IR1,11210,86.0,VinylSd,TA,Gd
7,3,Y,Gd,1413.0,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,33,Gable,AllPub,0,GasA,Gd,0,Unf,0,6,187100.0,2001,TA,PConc,SBrkr,1Fam,5,1430,CollegeCr,1,train,Inside,IR2,16285,67.0,VinylSd,TA,Gd
7,3,Y,Gd,80.0,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,18,Gable,AllPub,648,GasA,Gd,1,GLQ,36,7,189000.0,2005,TA,PConc,SBrkr,1Fam,5,1456,CollegeCr,1,train,Inside,Reg,8199,63.0,OtherSd,TA,Gd
6,1,Y,Gd,186.0,1,2008,1Story,Ex,Attchd,CompShg,Y,notWD,1,0,Gable,AllPub,662,GasA,Gd,0,GLQ,140,4,144500.0,2004,TA,PConc,SBrkr,Twnhs,5,848,CollegeCr,1,train,Inside,Reg,4438,70.0,VinylSd,TA,Gd
7,3,Y,Gd,1649.0,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,34,Gable,AllPub,0,GasA,Gd,0,Unf,0,6,224900.0,1998,TA,PConc,SBrkr,1Fam,5,1661,CollegeCr,1,train,CulDSac,IR2,12137,48.0,VinylSd,TA,TA
7,3,Y,Gd,798.0,0,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,45,Gable,AllPub,0,GasA,Gd,1,Unf,0,6,183000.0,2003,TA,PConc,SBrkr,1Fam,5,1640,CollegeCr,1,train,CulDSac,IR1,7226,72.0,VinylSd,TA,Gd
5,3,Y,Gd,1099.0,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,AllPub,0,GasA,Gd,1,Unf,278,6,144000.0,1995,TA,PConc,SBrkr,1Fam,6,1099,CollegeCr,1,train,Inside,Reg,9525,75.0,VinylSd,TA,TA
5,3,Y,TA,404.0,1,2009,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,AllPub,460,GasA,TA,0,BLQ,0,5,133500.0,1972,TA,CBlock,SBrkr,1Fam,6,864,CollegeCr,1,train,CulDSac,IR1,15523,36.0,OtherSd,TA,TA
6,3,Y,Gd,299.0,0,2010,2Story,Ex,Attchd,CompShg,Y,WD,2,77,Gable,AllPub,505,GasA,Gd,1,GLQ,0,7,200500.0,1998,TA,PConc,SBrkr,1Fam,5,1682,CollegeCr,1,train,Inside,Reg,8750,70.0,VinylSd,TA,TA
5,3,Y,TA,218.0,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,AllPub,646,GasA,TA,0,ALQ,0,6,136500.0,1978,TA,CBlock,SBrkr,1Fam,8,864,CollegeCr,1,train,CulDSac,IR1,7000,70.0,VinylSd,Gd,Gd
8,3,Y,Gd,1753.0,1,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,151,notGable,AllPub,0,GasA,Ex,0,Unf,202,7,236500.0,2001,TA,PConc,SBrkr,1Fam,5,1788,CollegeCr,1,train,Inside,Reg,11838,70.0,VinylSd,TA,Gd
7,3,Y,Gd,1480.0,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,AllPub,20,GasA,Gd,0,GLQ,192,6,190000.0,2004,TA,PConc,SBrkr,1Fam,5,1500,CollegeCr,1,train,FR2,Reg,8487,63.0,VinylSd,TA,Gd
7,3,Y,Gd,936.0,1,2006,2Story,Ex,Attchd,CompShg,Y,WD,2,96,Gable,AllPub,0,GasA,Gd,1,Unf,144,7,192500.0,2002,TA,PConc,SBrkr,1Fam,5,1776,CollegeCr,1,train,Inside,IR1,14006,65.0,VinylSd,TA,Gd
7,3,Y,Gd,638.0,0,2007,1Story,Ex,Attchd,CompShg,Y,WD,2,39,Gable,AllPub,699,GasA,Gd,0,GLQ,0,6,185000.0,2003,TA,PConc,SBrkr,1Fam,5,1337,CollegeCr,1,train,Inside,Reg,8450,65.0,VinylSd,TA,Gd
9,2,Y,Ex,1800.0,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,136,Gable,AllPub,0,GasA,Ex,0,Unf,288,7,239000.0,2007,TA,PConc,SBrkr,1Fam,5,1800,CollegeCr,1,train,Corner,IR1,11923,122.0,VinylSd,TA,Gd
8,4,Y,Gd,1128.0,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,0,Gable,AllPub,0,GasA,Gd,1,Unf,0,9,255900.0,2002,TA,PConc,SBrkr,1Fam,5,2290,CollegeCr,1,train,Corner,Reg,11250,70.0,OtherSd,TA,Gd
6,3,Y,Gd,750.0,0,2006,2Story,Ex,Attchd,CompShg,Y,notWD,2,35,Gable,AllPub,0,GasA,Gd,1,Unf,0,6,173900.0,2005,TA,PConc,SBrkr,1Fam,5,1500,CollegeCr,1,train,Inside,Reg,8846,68.0,VinylSd,TA,TA
7,2,Y,Gd,501.0,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,61,Gable,AllPub,686,GasA,Gd,0,GLQ,105,6,206000.0,2006,TA,PConc,SBrkr,1Fam,5,1208,CollegeCr,1,train,Inside,Reg,6762,64.0,VinylSd,TA,Gd
7,3,Y,Gd,814.0,1,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,66,notGable,AllPub,690,GasA,Gd,0,GLQ,115,6,203000.0,1996,TA,PConc,SBrkr,1Fam,5,1504,CollegeCr,1,train,Inside,Reg,11883,73.0,VinylSd,TA,Gd
7,2,Y,Gd,515.0,0,2006,1Story,Ex,Attchd,CompShg,Y,notWD,2,54,Gable,AllPub,684,GasA,Gd,0,GLQ,105,6,194000.0,2006,TA,PConc,SBrkr,1Fam,5,1220,CollegeCr,1,train,Inside,Reg,7406,64.0,VinylSd,TA,Gd
5,3,Y,TA,276.0,0,2007,1Story,TA,Detchd,CompShg,Y,WD,1,0,Gable,AllPub,138,GasA,TA,0,BLQ,96,5,112500.0,1972,TA,CBlock,SBrkr,1Fam,5,882,CollegeCr,1,train,Corner,Reg,7700,70.0,VinylSd,TA,TA
7,3,Y,Gd,668.0,0,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,136,Gable,AllPub,986,GasA,Gd,0,GLQ,0,6,230000.0,2002,TA,PConc,SBrkr,1Fam,5,1654,CollegeCr,1,train,Inside,Reg,8125,70.0,VinylSd,TA,Gd
8,3,Y,Gd,1055.0,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,45,Gable,AllPub,0,GasA,Gd,1,Unf,0,7,287000.0,2001,TA,PConc,SBrkr,1Fam,5,2263,CollegeCr,1,train,Inside,Reg,9240,70.0,VinylSd,TA,Gd
5,3,Y,Gd,304.0,0,2008,1Story,Ex,Detchd,CompShg,Y,WD,1,0,Gable,AllPub,686,GasA,TA,0,GLQ,0,5,145000.0,1994,TA,PConc,SBrkr,1Fam,5,990,CollegeCr,1,train,Inside,IR2,9245,57.0,VinylSd,TA,TA
7,3,Y,Gd,1316.0,1,2007,1Story,Ex,Attchd,CompShg,Y,notWD,2,20,Gable,AllPub,0,GasA,Gd,0,Unf,0,6,200141.0,2007,TA,PConc,SBrkr,1Fam,5,1316,CollegeCr,1,train,Corner,IR1,11175,103.0,VinylSd,TA,Gd
8,3,Y,Gd,133.0,1,2006,2Story,Ex,Attchd,CompShg,Y,WD,2,60,Gable,AllPub,932,GasA,Gd,1,GLQ,199,7,255000.0,2002,TA,PConc,SBrkr,1Fam,5,1989,CollegeCr,1,train,Corner,Reg,11367,90.0,VinylSd,TA,Gd
